name,team_clean,league,position,Cluster,Role_Label,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
F. Caputo,empoli,Serie A,Attacker,0,Off-Ball Disruptor,0.2827965435978005,0.2077728933753675,0.2556808448353844,0.4569258432631943,0.900751337079027,0.7431444981873915,0.5949641885913425,0.6307857564918538,0.2963238698107795
I. Success,udinese,Serie A,Attacker,0,Off-Ball Disruptor,0.1241162608012568,0.3347855468969092,0.2185560600186462,0.2017049777435574,0.651608242878685,0.5622570684656657,0.4783489991968795,0.5239399560536976,0.6531871232002348
Dany Mota,monza,Serie A,Attacker,0,Off-Ball Disruptor,0.5903377847604085,0.4188389025837143,0.2299646634266121,0.7526908790773331,0.5810715269746898,0.4083359555106897,0.611211388444603,0.6519342513942304,0.5670610249429229
A. Petagna,cagliari,Serie A,Attacker,0,Off-Ball Disruptor,0.1747839748625294,0.461740697040719,0.1217891212833287,0.2239036735046914,0.7957779209518155,0.7994921551576019,0.3774990926915151,0.608647181693635,0.364336353887171
G. Oristanio,cagliari,Serie A,Attacker,0,Off-Ball Disruptor,0.2148468185388845,0.2861522262251855,0.2403080957776835,0.3267245342539496,0.6568980712163071,0.7168796032502156,0.4738519431171792,0.5438897553062088,0.4168816467317215
P. Almqvist,lecce,Serie A,Attacker,0,Off-Ball Disruptor,0.612725844461901,0.2740584761502073,0.1516110087098816,0.4978294362946412,0.7540252568609094,0.5281345017467943,0.6309594342341699,0.6260526698893706,0.2128088671815726
A. Sanabria,torino,Serie A,Attacker,0,Off-Ball Disruptor,0.6205813040062844,0.3205896095265739,0.3339175402605062,0.562496882877558,1.0,0.4009151797627808,0.6311966094378476,0.5588610415683034,0.5537041301438036
J. Ikoné,fiorentina,Serie A,Attacker,0,Off-Ball Disruptor,0.4442262372348783,0.3673166607168616,0.2857531541376538,0.5623328624282465,0.9843053677502456,0.5545222167223243,0.6829573586631537,0.4996358283321842,0.479128485053329
M'Bala Nzola,fiorentina,Serie A,Attacker,0,Off-Ball Disruptor,0.3888452474469757,0.3481481801067101,0.2757695043081254,0.717848954874079,0.6986562311735811,0.8144650540362341,0.7985947389654975,0.4322655901711596,0.2878484769917504
A. Guðmundsson,genoa,Serie A,Attacker,0,Off-Ball Disruptor,0.9701492537313434,0.5419842077316848,0.3035972992485364,0.6647753554897344,0.5228450831582881,0.6325979624646961,0.3083902727298429,0.8496376152564152,0.1274640825553038
K. Gameiro,strasbourg,Ligue 1,Attacker,0,Off-Ball Disruptor,0.3106834249803614,0.4891266924415546,0.2953258759605441,0.725533373001876,0.7316531207595866,0.8403860542660172,0.451812167160884,0.5814063864631567,0.6110054395913274
Keito Nakamura,reims,Ligue 1,Attacker,0,Off-Ball Disruptor,0.3279654359780047,0.3465716290927457,0.3511679370695043,0.4282941503423872,0.8214578271525861,0.689254509972085,0.4572017048072003,0.5353502704174119,0.7510802258733699
M. Simon,nantes,Ligue 1,Attacker,0,Off-Ball Disruptor,0.4870384917517675,0.3914670617443153,0.2101699412363811,0.221995983348358,0.4226922168865067,0.6274599236774752,0.7029267746163929,0.5667780664111497,0.5260135514517823
D. Ndoye,bologna,Serie A,Attacker,0,Off-Ball Disruptor,0.4799685781618225,0.3852974447932589,0.1742699694199123,0.5754062331552957,0.868402321099999,0.3768219202704487,0.6440134309505249,0.5557026393970189,0.4358421350093759
J. Zirkzee,bologna,Serie A,Attacker,0,Off-Ball Disruptor,0.8711704634721131,0.4194407948240201,0.402652676031268,0.7152465321125989,0.6603219973669368,0.5336449767909084,0.5889737955342441,0.6081786595891323,0.535704775491697
F. Thauvin,udinese,Serie A,Attacker,0,Off-Ball Disruptor,0.4560094265514532,0.3951678795262633,0.3041963505267777,0.6102031305871587,0.4187917136177521,0.6121403127104963,0.467265905950549,0.5696227246658733,0.268297507790738
G. Lapadula,cagliari,Serie A,Attacker,0,Off-Ball Disruptor,0.2556952081696779,0.2609442478788383,0.3616765535511481,0.3658583953246977,0.6411425903980509,0.7926970616463224,0.4162136733111105,0.3564558327617312,0.1704466669420446
G. Isaksen,lazio,Serie A,Attacker,0,Off-Ball Disruptor,0.2026708562450903,0.302477266525145,0.3088925059378311,0.5638343904828255,0.4654842942449533,0.4676720201945951,0.4208930081425686,0.6215758454850022,0.4355430311458457
Mousa Tamari,montpellier,Ligue 1,Attacker,0,Off-Ball Disruptor,0.5455616653574235,0.3277934486406001,0.3027321848926129,0.4731578219847209,0.7518207484682218,0.3813318112025059,0.727589655095028,0.6373914060973999,0.4585592000130243
Jaime Mata,getafe,La Liga,Attacker,0,Off-Ball Disruptor,0.48586017282011,0.2455307507225024,0.2450864183555457,0.4359980468694125,0.6261954529720806,0.6532519901353822,0.4322067749635825,0.7755524661798358,0.8171013390870012
Carlos Vicente,alaves,La Liga,Attacker,0,Off-Ball Disruptor,0.2219167321288295,0.4750072338312178,0.1599300670561948,0.3104729845230838,0.0,0.442403575496561,0.5967635925845262,0.6461544681857104,0.046370619796729
José Arnáiz,osasuna,La Liga,Attacker,0,Off-Ball Disruptor,0.1441476826394344,0.3537948504359904,0.3415419167429243,0.6279678790260534,0.6308225099651461,0.4139693198798517,0.5518775975276604,0.4549391680613676,0.482627745958771
E. Nuamah,lyon,Ligue 1,Attacker,0,Off-Ball Disruptor,0.5074626865671642,0.3978322808078679,0.2251042124283622,0.7331683531696159,0.6885880376885285,0.5694037833695262,0.5419304467914471,0.576105379668406,0.5657994033186985
Ivan Cavaleiro,lille,Ligue 1,Attacker,0,Off-Ball Disruptor,0.0860172820109976,0.4150571217801779,0.1031265385942674,0.5922549797957863,0.6658474241376124,0.7034806820805544,0.52104751975793,0.7557835583162846,0.683802353643173
