name,position,minutes,duels_total_api,duels_won_api,goals_total_api,shots_total_api,shots_on_target_api,assists_total_api,dribbles_attempts_api,dribbles_success_api,touches_total_api,passes_key_api,passes_total_api,passes_accuracy_perc,shots_on_target_perc,dribbles_success_perc,name_clean,team_clean,duels_total_p90,duels_won_p90,goals_p90,shots_total_p90,shots_on_target_p90,assists_p90,dribbles_attempts_p90,dribbles_success_p90,touches_total_p90,passes_key_p90,passes_total_p90,team_AS Roma,team_Atalanta,team_Bologna,team_Cagliari,team_Empoli,team_Fiorentina,team_Genoa,team_Inter,team_Juventus,team_Lazio,team_Lecce,team_Monza,team_Napoli,team_Salernitana,team_Sassuolo,team_Torino,team_Udinese,team_Verona,league,team_Le Havre,team_Lens,team_Lille,team_Lorient,team_Lyon,team_Marseille,team_Metz,team_Monaco,team_Montpellier,team_Nantes,team_Nice,team_Paris Saint Germain,team_Reims,team_Rennes,team_Stade Brestois 29,team_Strasbourg,team_Toulouse,team_Almeria,team_Athletic Club,team_Atletico Madrid,team_Barcelona,team_Cadiz,team_Celta Vigo,team_Getafe,team_Girona,team_Las Palmas,team_Mallorca,team_Osasuna,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Valencia,team_Villarreal
F. Caputo,Attacker,1274.0,80.0,33.0,3.0,18.0,0,0.0,9.0,5.0,0,10.0,213.0,75.9,0.0,55.55555555555556,francesco caputo,empoli,5.65149136577708,2.3312401883830454,0.2119309262166404,1.2715855572998431,0.0,0.0,0.6357927786499216,0.3532182103610675,0.0,0.706436420722135,15.047095761381478,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Success,Attacker,870.0,186.0,87.0,1.0,16.0,0,1.0,34.0,20.0,0,11.0,201.0,63.7,0.0,58.82352941176471,isaac success,udinese,19.24137931034483,9.0,0.1034482758620689,1.6551724137931034,0.0,0.1034482758620689,3.5172413793103448,2.0689655172413794,0.0,1.137931034482759,20.79310344827586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Azmoun,Attacker,568.0,80.0,36.0,3.0,11.0,0,0.0,11.0,4.0,0,8.0,153.0,69.2,0.0,36.36363636363637,sardar azmoun,roma,12.67605633802817,5.704225352112676,0.4753521126760563,1.742957746478873,0.0,0.0,1.742957746478873,0.6338028169014085,0.0,1.267605633802817,24.242957746478872,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dany Mota,Attacker,2057.0,233.0,97.0,4.0,29.0,0,3.0,44.0,16.0,0,35.0,739.0,74.8,0.0,36.36363636363637,dany mota,monza,10.194457948468644,4.244044725328148,0.1750121536217792,1.2688381137579,0.0,0.1312591152163344,1.925133689839572,0.7000486144871171,0.0,1.5313563441905689,32.33349538162372,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Petagna,Attacker,999.0,135.0,63.0,1.0,13.0,0,1.0,15.0,11.0,0,18.0,235.0,71.1,0.0,73.33333333333333,andrea petagna,cagliari,12.162162162162163,5.675675675675675,0.09009009009009,1.1711711711711712,0.0,0.09009009009009,1.351351351351351,0.990990990990991,0.0,1.6216216216216215,21.17117117117117,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Oristanio,Attacker,1101.0,234.0,97.0,2.0,18.0,0,1.0,55.0,32.0,0,15.0,208.0,67.8,0.0,58.18181818181818,gaetano oristanio,cagliari,19.12806539509537,7.929155313351498,0.1634877384196185,1.4713896457765667,0.0,0.0817438692098092,4.4959128065395095,2.6158038147138964,0.0,1.2261580381471389,17.002724795640326,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Pinamonti,Attacker,3100.0,395.0,153.0,11.0,54.0,0,1.0,27.0,11.0,0,17.0,602.0,65.2,0.0,40.74074074074074,andrea pinamonti,sassuolo,11.46774193548387,4.441935483870968,0.3193548387096774,1.5677419354838709,0.0,0.0290322580645161,0.7838709677419354,0.3193548387096774,0.0,0.4935483870967742,17.47741935483871,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Tchaouna,Attacker,2097.0,241.0,93.0,4.0,35.0,0,3.0,47.0,16.0,0,22.0,680.0,65.9,0.0,34.04255319148936,loum tchaouna,salernitana,10.343347639484978,3.991416309012876,0.1716738197424892,1.5021459227467813,0.0,0.1287553648068669,2.017167381974249,0.6866952789699571,0.0,0.9442060085836912,29.184549356223176,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Kvaratskhelia,Attacker,2752.0,450.0,233.0,11.0,78.0,0,5.0,195.0,101.0,0,58.0,1027.0,80.4,0.0,51.7948717948718,khvicha kvaratskhelia,napoli,14.71656976744186,7.619912790697674,0.3597383720930233,2.550872093023256,0.0,0.1635174418604651,6.37718023255814,3.303052325581396,0.0,1.8968023255813955,33.58648255813954,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. Giroud,Attacker,2374.0,220.0,103.0,15.0,68.0,0,8.0,9.0,3.0,0,32.0,484.0,68.7,0.0,33.33333333333333,olivier giroud,milan,8.340353833192923,3.90480202190396,0.5686604886267903,2.577927548441449,0.0,0.3032855939342881,0.3411962931760741,0.113732097725358,0.0,1.2131423757371524,18.34877843302443,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
