name,team_clean,league,position,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc,Cluster,Role_Label
F. Caputo,empoli,Serie A,Attacker,1274.0,-1.5677028097475314,-0.9297803646525798,-0.2850089931107973,1.5036732895761649,1.2136895148156928,-0.0816960256982506,0.0811926782116507,-0.4631687124441329,-0.5671746077860312,-0.9404135427827268,-1.3478302657969994,-1.0414774971564824,-1.365213221275779,0.5941143196248917,0.9512428234205516,-0.3691243113188627,0,Off-Ball Disruptor
I. Success,udinese,Serie A,Attacker,870.0,-0.4671698504925375,-1.2274437255014037,-1.796760569416597,0.123054573950402,0.2202716000265903,-0.5251640894634724,-0.3092817027894375,0.3498077239770513,-1.1250737476651655,-0.2907564700611107,-0.3686995720094266,-0.2898114193052325,-0.5541595278145044,-1.2896627913808605,1.2733043637012935,0.5905988981101788,0,Off-Ball Disruptor
S. Azmoun,roma,Serie A,Attacker,568.0,-0.9721217956820254,0.436540414123017,0.2277874068030785,0.1372425198403195,-1.0113717568993552,-0.6344963108664844,0.9371540614581192,-0.4379351269145044,0.7875346740328397,-0.1420799414076001,-1.3478302657969994,-0.0639175277955831,-0.0672097667060076,-0.4404190118290871,-0.9811264182639086,0.2821164379365581,3,Disruptive Presser
Dany Mota,monza,Serie A,Attacker,2057.0,0.2611315092898819,-1.1359705156290762,1.4668981567917383,-0.2678224456531356,-0.6250496658512068,-0.0199106416677022,0.1584811202678271,0.1536023490076174,-0.7570386220661586,-0.9450667161089568,-0.1054719231691115,0.3955377137885563,1.0747762501310576,0.4242655637145357,-0.9811264182639086,-0.3005726535025017,0,Off-Ball Disruptor
A. Petagna,cagliari,Serie A,Attacker,999.0,0.6328648563387186,-2.003312793704599,-1.665270876203229,0.9219663656352624,1.5231459097498894,-0.908679418822112,0.0002859298403436,-0.3082282796273223,-1.1937715562840965,-1.1104791095434516,-0.4951338658018162,0.5527803418283919,-0.5007949589274647,-0.1470438879839303,2.732645718098411,0.5734609836560887,0,Off-Ball Disruptor
G. Oristanio,cagliari,Serie A,Attacker,1101.0,-0.8885654424535512,-1.0530377565159723,-1.0562313370639396,0.152367993328167,1.0694450131342677,-0.5422656416940516,-0.2363739658238734,-0.1885239264283374,-0.8163058072601137,-0.6020178521058757,-0.574130262531615,-0.1361194757905852,-1.0891745805873232,-0.6565901557149939,1.212917824898654,-0.3177105679565919,0,Off-Ball Disruptor
A. Pinamonti,sassuolo,Serie A,Attacker,3100.0,-2.475969332639982,-0.0781031679776324,-0.2100666500731997,-0.0660485661380624,0.0813881083329992,-0.0850087350471289,0.3280697072244413,0.3653911223416631,-0.0147202919444454,-0.4388320040465271,-1.0730419743146806,-1.4123296657664322,-1.0221710545770912,-1.058050851503104,-0.5483562235116601,-0.7975721726711116,3,Disruptive Presser
L. Tchaouna,salernitana,Serie A,Attacker,2097.0,-1.0896579327646292,-0.7593606799000899,0.8006942218926162,-0.8992943216528224,-0.7080957727761104,0.0068745075917943,-0.0217863890338667,1.0269520505436895,-0.7742068383090132,-0.5499278690262914,-0.1291697456322091,-0.6272815191752771,0.6302999383021597,-0.9499652795601506,-1.2226725734744657,-0.8147100871252018,3,Disruptive Presser
K. Kvaratskhelia,napoli,Serie A,Attacker,2752.0,2.394696562344974,0.6410091529689453,-0.0084454926565917,1.0825523844931375,-0.7815024257970637,-0.3381036695433234,-0.4125121050360513,-0.2832386750259753,0.192962120553873,1.2262340675345784,0.199850881723329,1.0321466973967095,1.2516364168326493,1.2889501392581608,0.5687947443371686,1.447494620814679,2,Creative Technician
O. Giroud,milan,Serie A,Attacker,2374.0,-0.0287812371950426,1.97833616334422,-0.6321918729380964,-1.1918157371625977,-0.8145495559778706,1.4298799155361277,-0.2014444438460474,-0.4271558042837806,1.267396315652842,1.2720562005680711,1.522746662914673,-0.1587928339330762,-0.8991780066726407,-0.5176229917883393,-1.293123535410878,0.5905988981101788,1,Pure Finisher
