name,team_clean,league,position,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Cluster
F. Caputo,empoli,Serie A,Attacker,1274.0,-1.5677028097475314,-0.9297803646525798,-0.2850089931107973,1.5036732895761649,1.2136895148156928,-0.0816960256982506,0.0811926782116507,-0.4631687124441329,0
I. Success,udinese,Serie A,Attacker,870.0,-0.4671698504925375,-1.2274437255014037,-1.796760569416597,0.123054573950402,0.2202716000265903,-0.5251640894634724,-0.3092817027894375,0.3498077239770513,0
S. Azmoun,roma,Serie A,Attacker,568.0,-0.9721217956820254,0.436540414123017,0.2277874068030785,0.1372425198403195,-1.0113717568993552,-0.6344963108664844,0.9371540614581192,-0.4379351269145044,3
Dany Mota,monza,Serie A,Attacker,2057.0,0.2611315092898819,-1.1359705156290762,1.4668981567917383,-0.2678224456531356,-0.6250496658512068,-0.0199106416677022,0.1584811202678271,0.1536023490076174,0
A. Petagna,cagliari,Serie A,Attacker,999.0,0.6328648563387186,-2.003312793704599,-1.665270876203229,0.9219663656352624,1.5231459097498894,-0.908679418822112,0.0002859298403436,-0.3082282796273223,0
G. Oristanio,cagliari,Serie A,Attacker,1101.0,-0.8885654424535512,-1.0530377565159723,-1.0562313370639396,0.152367993328167,1.0694450131342677,-0.5422656416940516,-0.2363739658238734,-0.1885239264283374,0
A. Pinamonti,sassuolo,Serie A,Attacker,3100.0,-2.475969332639982,-0.0781031679776324,-0.2100666500731997,-0.0660485661380624,0.0813881083329992,-0.0850087350471289,0.3280697072244413,0.3653911223416631,3
L. Tchaouna,salernitana,Serie A,Attacker,2097.0,-1.0896579327646292,-0.7593606799000899,0.8006942218926162,-0.8992943216528224,-0.7080957727761104,0.0068745075917943,-0.0217863890338667,1.0269520505436895,3
K. Kvaratskhelia,napoli,Serie A,Attacker,2752.0,2.394696562344974,0.6410091529689453,-0.0084454926565917,1.0825523844931375,-0.7815024257970637,-0.3381036695433234,-0.4125121050360513,-0.2832386750259753,2
O. Giroud,milan,Serie A,Attacker,2374.0,-0.0287812371950426,1.97833616334422,-0.6321918729380964,-1.1918157371625977,-0.8145495559778706,1.4298799155361277,-0.2014444438460474,-0.4271558042837806,1
A. Belotti,fiorentina,Serie A,Attacker,952.0,-2.539064243627449,-0.0454065223541494,-0.013692539309678,0.1630141974362834,-1.898539887095232,0.4447872415592562,0.3273299088924791,-0.1747167562617653,3
A. Cerri,empoli,Serie A,Attacker,554.0,-3.3557280143222274,-1.4475800848055531,-0.5165658808260034,-1.8378734604162004,-2.8675949553767848,-0.1000447875274982,1.0850106620007185,0.5028447555990097,3
P. Pellegri,torino,Serie A,Attacker,745.0,-2.337055962862854,-1.2130404030245887,-0.7623163600028685,-0.6207997630926873,0.0836839126013978,0.6048070051483986,-0.0473178197475479,0.4844604722259289,3
A. Sanabria,torino,Serie A,Attacker,2134.0,-0.5901741066072559,-0.3024852081444202,0.3403207001504172,2.0536566714929965,-0.6658039160550273,0.0560898116507322,-0.1816605029455152,0.1231737727047779,0
P. Almqvist,lecce,Serie A,Attacker,2114.0,-0.9933547700479768,-1.7642034417699657,-0.0427244482482102,0.6905952748323707,0.0328734534043435,0.0551878740138409,0.0638953295676213,-0.6534257046682715,0
Zito Luvumbo,cagliari,Serie A,Attacker,1944.0,-1.2038242590069392,-0.7122082221831711,-1.0046806879640964,-1.4331797329385203,0.3412503226326497,0.7939351898961147,-0.4196488617529066,-0.3470860832301642,3
Pedro,lazio,Serie A,Attacker,795.0,2.480688974352608,-2.031779352449005,1.9654490785681549,1.0130204194879933,-0.4668134893409228,-0.7166562272706251,0.559566639465348,0.6883461048056432,2
T. Noslin,verona,Serie A,Attacker,1347.0,-0.0242582635793669,0.4801352261503755,0.6081362359997982,-1.843256906604583,-0.1404515231741748,0.5088056320085012,-0.5906288371307217,-0.5135439862862824,1
M. Retegui,genoa,Serie A,Attacker,2226.0,-2.158609965196982,0.3237261666064711,-0.9626286857501108,-0.0295930771584077,-0.0394755292175423,0.1662322686750346,-0.3534779578385063,0.4412025069203843,3
A. Lookman,atalanta,Serie A,Attacker,1900.0,3.0429898308712886,1.04541809423728,0.3428658968693252,-0.9311843907296324,0.2480530378507106,-0.1114644654953112,0.0329266094008391,0.0547959843683319,2
G. Scamacca,atalanta,Serie A,Attacker,1457.0,1.943557643693156,3.017880327277411,-0.8771690728336317,-1.8003717948082103,1.3047181655758773,-0.3361915625972148,-0.4294451798116596,0.4353787960827605,1
S. Chukwueze,milan,Serie A,Attacker,1015.0,1.528882137622219,-1.0724577739069583,1.5185135715393552,-0.50211681339493,-0.5476790271013542,0.615711188795047,-0.6991139041172004,0.262376809607509,2
Rafael Leão,milan,Serie A,Attacker,2521.0,2.862910931158907,-0.5692429866691869,-0.9043798897071776,-0.3372750878493478,-0.270465087715374,0.521482935766817,0.2871262351932936,-0.221676723152886,2
A. Saelemaekers,bologna,Serie A,Attacker,1891.0,2.258112187521557,-1.760639747991252,1.080985746915441,0.7208007731927512,-1.9505631631619205,-0.4538314106740244,1.0124910857282696,-0.09659664477279,2
N. Okafor,milan,Serie A,Attacker,870.0,-1.346955778284692,1.7043667158655158,-0.8233433549884605,-1.333422448073709,0.7859953196641465,0.2972944472773703,0.4509379691070032,0.5320951553171424,1
A. Guðmundsson,genoa,Serie A,Attacker,3024.0,1.3281548596041062,-0.5455903166567292,0.9461475077619234,-0.5904824749638967,0.606577626644455,-1.171488704101696,0.8809999119221874,-0.8478511553516948,0
J. Ikoné,fiorentina,Serie A,Attacker,1685.0,-0.1852958641809208,-0.6886631514596567,0.3393491566510714,1.9666853545138052,0.177792471974995,0.2529272850294236,-0.39810259410114,-0.0467183123267387,0
M'Bala Nzola,fiorentina,Serie A,Attacker,1544.0,-0.3513859670597973,-0.76871120497606,1.26051873821029,0.3837695393037794,1.6053757584753725,0.6926769043358599,-0.6443111669785409,-0.4824766534715167,0
R. Sottil,fiorentina,Serie A,Attacker,1107.0,1.7702546590984007,-0.6442220606689468,-0.7825702531668983,1.3389075996281112,-0.841589266793518,1.2219375366022802,-0.425473538468158,0.339796611882907,2
A. Milik,juventus,Serie A,Attacker,900.0,0.9777001607973124,1.165962088568521,-0.0013177983636573,1.2403226552717008,-0.315652321430346,-0.3872415244441324,-0.6130025015672533,-0.4366229152817311,1
Lautaro Martínez,inter,Serie A,Attacker,2668.0,-0.0748579282231327,2.7984627755007927,0.6560258437304274,0.5370821651680527,-0.9552733556729645,0.3386644074799191,0.9192756361201077,-0.5613127051282255,1
M. Thuram,inter,Serie A,Attacker,2707.0,1.5718480722130763,0.1730919924318848,-2.99152110528308,1.5436632582581775,0.8979140815445262,0.704687142246335,0.4392500046680924,0.124737530426779,2
P. Dybala,roma,Serie A,Attacker,1976.0,3.4553639933691214,1.1411867115260164,1.4667184303991354,-1.3584948885303585,-0.4676208782498638,0.8509295722567787,0.535084886674172,0.1999093224805779,2
D. Berardi,sassuolo,Serie A,Attacker,1437.0,0.7281417412329273,1.3733296425406998,0.2553001759174091,-1.5016758815185554,-0.3023054554076343,-1.0563906779331391,0.4818941838199413,1.1398882212199304,1
F. Thauvin,udinese,Serie A,Attacker,1715.0,0.0560279992715556,-0.5407871745595474,0.6228994580736199,-1.1670909893306196,0.4942260066807706,-0.5673112396589249,-0.1423312871146532,-0.5270160593045776,0
L. Lucca,udinese,Serie A,Attacker,2602.0,-2.0059842272367,-0.043188284351163,-1.2960440748127993,-0.9547656630423276,-0.7165085688729986,0.5328513098143368,-0.0277126432226585,0.1690092340509789,3
M. Politano,napoli,Serie A,Attacker,2385.0,2.641659818496918,-0.4667325649160135,1.2529514652091585,-0.4578380702202898,-0.71586444327447,-0.8784440341431813,0.1804878412589647,-0.1188649574613229,2
R. Lukaku,roma,Serie A,Attacker,2648.0,-0.9629256879802104,0.3228256062303479,-0.0652051017705267,0.0247162879518066,0.4375408931310625,0.05887746995744,0.5656515603670439,-0.0548108395906226,3
V. Osimhen,napoli,Serie A,Attacker,1989.0,-1.2399029654118725,2.6062002443725945,-1.5014585482133034,0.0516617032900007,0.2957338780911561,-0.2746078471766547,-0.0179545267911242,-0.6009807007393586,1
G. Simeone,napoli,Serie A,Attacker,789.0,-0.7781024660304816,0.9914269591524104,-1.178458641802503,1.2696033135700948,-0.8146692757752935,-1.1359835883084897,-2.224051672061386,0.0557496289193011,3
G. Raspadori,napoli,Serie A,Attacker,1572.0,1.7190830645380637,0.1547460015460864,0.3715705813204096,-0.0395799139492997,-0.3665896050030928,-0.7922457913198215,-0.4362197537717387,0.4560746932720029,2
C. Ekuban,genoa,Serie A,Attacker,1120.0,-0.7511640780973845,-0.0187805759745212,-1.5658230726966382,0.0283545731173656,-0.5384674808143691,-0.2405827449693235,0.0874696082586213,-0.6748590457566308,3
C. Immobile,lazio,Serie A,Attacker,1659.0,-1.266201717960431,0.8627209903692307,1.078855285879364,0.1521151232867661,-1.007637760263349,0.0433213224162009,-0.1350103472236029,-0.0183000518893609,3
R. Orsolini,bologna,Serie A,Attacker,1791.0,0.9437772344053824,1.294957618037523,-0.5723603695257033,-0.2691242497046759,-1.4223435553900683,-1.1221616658317806,0.2170392175490569,0.0605450755463974,1
D. Ndoye,bologna,Serie A,Attacker,1776.0,-0.0294968554942271,-1.5825258258165322,0.416786746888873,1.3244122226135406,-0.7981219861506993,0.1048300405125593,-0.1932030729644336,-0.1453297055429751,0
J. Zirkzee,bologna,Serie A,Attacker,2772.0,0.2663467554091515,0.2486272527876236,1.2451037888726983,0.1713415737103652,0.063136499522267,-0.1044764887238517,-0.0014263122692271,0.0821691271886951,0
C. Ikwuemesi,salernitana,Serie A,Attacker,1056.0,-2.3957530737292805,-1.215643282871614,-0.3008564386128176,-0.383121520861755,1.4046570130179177,-0.082846306202971,-0.5418870318756958,0.3479625423571016,3
S. Nwankwo,salernitana,Serie A,Attacker,681.0,-2.2294222327558204,-0.1226624689190956,-0.9278123563470774,0.0034750296488981,0.5415574122443431,-0.697767139158127,0.8547601833980862,0.3434287375637728,3
G. Lapadula,cagliari,Serie A,Attacker,1205.0,-1.1069862866542133,-0.0799158052312958,-0.8244294581690349,0.0650594858971894,1.4858278515677543,-0.7614543429464496,-0.9213624687320724,-0.749931776006772,0
F. Chiesa,juventus,Serie A,Attacker,2206.0,0.3071513916180631,0.298566113130346,-0.011833411492166,-0.6219800253520703,-0.5377450460562995,-1.0980355267358597,-0.0902189257757826,-1.1382293173599227,1
G. Isaksen,lazio,Serie A,Attacker,1070.0,-0.7471130405617631,-0.5031338006848443,0.3482431685052961,-0.9083455045252437,-0.2991811975957979,-0.7436596151053235,0.0475345064844708,-0.1460110993003404,0
K. Gameiro,strasbourg,Ligue 1,Attacker,1345.0,0.8701576750066914,-0.6119098836807763,1.306035907012448,0.5666207777300114,1.7477316205556337,-0.6260792239547313,-0.0992671888782078,0.2537128907407731,0
S. Benrahma,lyon,Ligue 1,Attacker,778.0,2.438778020164623,0.1498438858537816,0.0370535426330368,-2.1908203469815186,0.7002247084898496,-0.6267885615910823,-0.451471564972484,0.1099480634024359,2
W. Ben Yedder,monaco,Ligue 1,Attacker,2323.0,-0.4497272570494803,1.4757868026445875,1.6983614670540654,-0.508385853924484,0.452453422199207,-0.8567544871523344,0.6815427799771461,0.1355730858858737,1
W. Khazri,montpellier,Ligue 1,Attacker,1132.0,-1.224286954756783,0.2019861214331216,0.0937833764842867,0.8567439312355618,-1.3141107921042026,-0.6401386109943872,-1.543102103400939,0.2895493920961443,3
J. Ito,reims,Ligue 1,Attacker,2722.0,1.7775677440520408,-2.152145160553185,-0.5720707444144606,-1.6183092202959648,0.1144473967963703,-0.8279728623844317,0.1750232357702388,-0.4600538653496709,2
Keito Nakamura,reims,Ligue 1,Attacker,1389.0,-0.365046388322632,-0.16417299662617,-0.4546033043643314,1.0642707679711678,0.9177304213440416,-0.6055837135755734,-0.2675820251237907,0.5728197180827188,0
O. Diakité,reims,Ligue 1,Attacker,1589.0,-1.5322883534600815,0.0624378352045762,0.9751663057283688,0.7480098048901668,0.8192843724256419,0.2445456453932983,-0.3891195697757985,-0.4758234727596771,3
A. Lacazette,lyon,Ligue 1,Attacker,2306.0,-0.642855167951307,1.9893347452309649,-0.625452387772854,0.5995092562583355,1.144700514213103,-0.4769684170534445,1.0510493860650882,0.323058562864646,1
M. Simon,nantes,Ligue 1,Attacker,1794.0,0.0239613363658796,-1.2946829112240636,-1.6765707109368362,-1.1454764716556014,0.5783599678167581,0.3288676344237866,-0.1527272611877357,0.0600913797330584,0
G. Kyei,clermont foot,Ligue 1,Attacker,1017.0,-1.3063764608308406,0.0655087991871114,1.4654424107680528,-0.1460825884662875,-0.259341785679709,0.0252316758429189,-0.985958843292467,0.0343286836794693,3
Mousa Tamari,montpellier,Ligue 1,Attacker,1943.0,-0.527754637693385,-0.5525267298366019,-0.1888619975708028,0.678379060068452,-0.7733540603056428,0.4226564445224199,0.105333420573618,-0.0935775613331052,0
A. Kalimuendo,rennes,Ligue 1,Attacker,2152.0,-1.1290703523436192,0.5598774875521949,1.7105818454771122,0.5913965577570778,0.9313679136784896,-0.157781566449507,0.0243182526575075,-0.6594130390650332,3
M. Guilavogui,lens,Ligue 1,Attacker,554.0,1.711534772550405,1.184111663335438,0.0584759494528979,0.8829235026835793,-1.303601411328384,-2.344245339336606,-1.0347240366282804,-0.2642532905672731,2
M. Satriano,brest,Ligue 1,Attacker,1870.0,0.1007668628722479,0.0613603513443142,-1.119174678244866,0.4025670140032252,-0.6862925081817461,0.7328616802909004,-0.9027485482345426,-0.0030762235251629,0
