name_metrics,team,position_metrics,minutes_metrics,duels_total_api_metrics,duels_won_api_metrics,goals_total_api_metrics,shots_total_api_metrics,assists_total_api_metrics,dribbles_attempts_api_metrics,dribbles_success_api_metrics,passes_key_api_metrics,passes_total_api_metrics,passes_accuracy_perc_metrics,tackles_total_api_metrics,interceptions_total_api_metrics,dribbles_success_perc_metrics,name_clean,team_clean_metrics,duels_total_p90_metrics,duels_won_p90_metrics,goals_p90_metrics,shots_total_p90_metrics,assists_p90_metrics,dribbles_attempts_p90_metrics,dribbles_success_p90_metrics,passes_key_p90_metrics,passes_total_p90_metrics,tackles_p90_metrics,interceptions_p90_metrics,league_metrics,name_pca,position_pca,minutes_pca,duels_total_api_pca,duels_won_api_pca,goals_total_api_pca,shots_total_api_pca,assists_total_api_pca,dribbles_attempts_api_pca,dribbles_success_api_pca,passes_key_api_pca,passes_total_api_pca,passes_accuracy_perc_pca,tackles_total_api_pca,interceptions_total_api_pca,dribbles_success_perc_pca,team_clean_pca,duels_total_p90_pca,duels_won_p90_pca,goals_p90_pca,shots_total_p90_pca,assists_p90_pca,dribbles_attempts_p90_pca,dribbles_success_p90_pca,passes_key_p90_pca,passes_total_p90_pca,tackles_p90_pca,interceptions_p90_pca,team_AS Roma,team_Atalanta,team_Bologna,team_Cagliari,team_Empoli,team_Fiorentina,team_Frosinone,team_Genoa,team_Inter,team_Juventus,team_Lazio,team_Lecce,team_Monza,team_Napoli,team_Salernitana,team_Sassuolo,team_Torino,team_Udinese,team_Verona,league_pca,team_Le Havre,team_Lens,team_Lille,team_Lorient,team_Lyon,team_Marseille,team_Metz,team_Monaco,team_Montpellier,team_Nantes,team_Nice,team_Paris Saint Germain,team_Reims,team_Rennes,team_Stade Brestois 29,team_Strasbourg,team_Toulouse,team_Almeria,team_Athletic Club,team_Atletico Madrid,team_Barcelona,team_Cadiz,team_Celta Vigo,team_Getafe,team_Girona,team_Las Palmas,team_Mallorca,team_Osasuna,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Sevilla,team_Valencia,team_Villarreal,name.1,team_clean.1,league.1,position.1,Cluster,Role_Label,minutes.1,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,name
A. Rabiot,Juventus,Midfielder,2651.0,315.0,178.0,5.0,29.0,3.0,49.0,28.0,26.0,1137.0,0.0,58.0,25.0,57.14285714285714,a. rabiot,juventus,10.69407770652584,6.043002640513014,0.1697472651829498,0.984534138061109,0.1018483591097699,1.6635231987929084,0.950584685024519,0.8826857789513392,38.6005281026028,1.969068276122218,0.8487363259147491,Serie A,A. Rabiot,Midfielder,2651.0,315.0,178.0,5.0,29.0,3.0,49.0,28.0,26.0,1137.0,0.0,58.0,25.0,57.14285714285714,juventus,10.69407770652584,6.043002640513014,0.1697472651829498,0.984534138061109,0.1018483591097699,1.6635231987929084,0.950584685024519,0.8826857789513392,38.6005281026028,1.969068276122218,0.8487363259147491,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,beñat prados,athletic club,la liga,midfielder,0,Deep-lying Playmaker,0.3259447674418604,0.149241771683079,0.6574804578897889,0.6886003303554281,0.4470480156188659,0.4175795408638322,0.4236329952358451,0.4035700081200952,0.3767056348891371,A. Rabiot
A. Tchouaméni,Real Madrid,Midfielder,1987.0,183.0,116.0,3.0,15.0,1.0,9.0,6.0,11.0,1492.0,50.0,37.0,28.0,66.66666666666666,a. tchouameni,real madrid,8.28887770508304,5.25415198792149,0.135883241066935,0.6794162053346754,0.0452944136889783,0.4076497232008053,0.2717664821338701,0.498238550578762,67.57926522395572,1.6758933064921993,1.268243583291394,La Liga,A. Tchouaméni,Midfielder,1987.0,183.0,116.0,3.0,15.0,1.0,9.0,6.0,11.0,1492.0,50.0,37.0,28.0,66.66666666666666,real madrid,8.28887770508304,5.25415198792149,0.135883241066935,0.6794162053346754,0.0452944136889783,0.4076497232008053,0.2717664821338701,0.498238550578762,67.57926522395572,1.6758933064921993,1.268243583291394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,t. koopmeiners,atalanta,serie a,midfielder,2,Final-Third Playmaker,0.7550872093023255,0.7203654223772551,0.6313889483131594,0.8487326838275058,0.4241806662977317,0.6942715922671184,0.2558321191591651,0.4064959074460743,0.146530191965031,A. Tchouaméni
A. Atta,Metz,Midfielder,919.0,142.0,59.0,1.0,7.0,2.0,29.0,13.0,13.0,415.0,0.0,20.0,11.0,44.82758620689656,abdallah atta,metz,13.906420021762786,5.778019586507073,0.0979325353645266,0.6855277475516867,0.1958650707290533,2.8400435255712733,1.2731229597388465,1.2731229597388465,40.64200217627857,1.9586507072905333,1.0772578890097932,Ligue 1,A. Atta,Midfielder,919.0,142.0,59.0,1.0,7.0,2.0,29.0,13.0,13.0,415.0,0.0,20.0,11.0,44.82758620689656,metz,13.906420021762786,5.778019586507073,0.0979325353645266,0.6855277475516867,0.1958650707290533,2.8400435255712733,1.2731229597388465,1.2731229597388465,40.64200217627857,1.9586507072905333,1.0772578890097932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ligue 1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p. zieliński,napoli,serie a,midfielder,1,Positional Anchor,0.502906976744186,0.4992209083595225,0.6566231191900298,0.1711641654335117,0.3424089770849273,0.6137980729057666,0.3888080904203018,0.2590043822772177,0.2828977670360527,A. Atta
A. Touré,Le Havre,Midfielder,2294.0,286.0,150.0,2.0,23.0,0.0,41.0,29.0,13.0,1225.0,0.0,47.0,25.0,70.73170731707317,abdoulaye touré,le havre,11.2205754141238,5.884917175239756,0.07846556233653,0.902353966870096,0.0,1.6085440278988663,1.137750653879686,0.5100261551874455,48.06015693112468,1.843940714908457,0.980819529206626,Ligue 1,A. Touré,Midfielder,2294.0,286.0,150.0,2.0,23.0,0.0,41.0,29.0,13.0,1225.0,0.0,47.0,25.0,70.73170731707317,le havre,11.2205754141238,5.884917175239756,0.07846556233653,0.902353966870096,0.0,1.6085440278988663,1.137750653879686,0.5100261551874455,48.06015693112468,1.843940714908457,0.980819529206626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ligue 1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,césar gelabert,toulouse,ligue 1,midfielder,1,Positional Anchor,0.0748546511627907,0.5873301166350733,0.6255940815723742,0.1997460023419864,0.3054232176946082,0.4516967395699435,0.4796998845210852,0.499342409773129,0.3892120980125001,A. Touré
A. Jallow,Metz,Midfielder,920.0,111.0,46.0,3.0,11.0,2.0,39.0,17.0,13.0,303.0,0.0,9.0,8.0,43.58974358974359,abdoulie jallow,metz,10.858695652173912,4.5,0.2934782608695652,1.0760869565217392,0.1956521739130435,3.815217391304348,1.6630434782608696,1.2717391304347827,29.64130434782609,0.8804347826086957,0.782608695652174,Ligue 1,A. Jallow,Midfielder,920.0,111.0,46.0,3.0,11.0,2.0,39.0,17.0,13.0,303.0,0.0,9.0,8.0,43.58974358974359,metz,10.858695652173912,4.5,0.2934782608695652,1.0760869565217392,0.1956521739130435,3.815217391304348,1.6630434782608696,1.2717391304347827,29.64130434782609,0.8804347826086957,0.782608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ligue 1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kike pérez,rayo vallecano,la liga,midfielder,1,Positional Anchor,0.1006540697674418,0.3880925634712628,0.5110041070798543,0.8228170873911875,0.4457828132555454,0.6208948536242395,0.5403400391579425,0.3302582689830125,0.4471079957194684,A. Jallow
A. Thomasson,Lens,Midfielder,1193.0,150.0,63.0,1.0,18.0,2.0,14.0,9.0,30.0,626.0,74.5,25.0,9.0,64.28571428571429,adrien thomasson,lens,11.316010058675609,4.752724224643756,0.0754400670578373,1.3579212070410729,0.1508801341156747,1.0561609388097235,0.6789606035205364,2.263202011735121,47.22548197820621,1.8860016764459344,0.6789606035205364,Ligue 1,A. Thomasson,Midfielder,1193.0,150.0,63.0,1.0,18.0,2.0,14.0,9.0,30.0,626.0,74.5,25.0,9.0,64.28571428571429,lens,11.316010058675609,4.752724224643756,0.0754400670578373,1.3579212070410729,0.1508801341156747,1.0561609388097235,0.6789606035205364,2.263202011735121,47.22548197820621,1.8860016764459344,0.6789606035205364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ligue 1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d. lazović,verona,serie a,midfielder,1,Positional Anchor,0.5039970930232558,0.5947767531454745,0.4398445956086038,0.3475639903353774,0.3763038767720575,0.5774657909711239,0.5573735187603912,0.3452509509344224,0.3625314576976076,A. Thomasson
A. Martegani,Salernitana,Midfielder,724.0,86.0,45.0,1.0,8.0,0.0,17.0,12.0,6.0,289.0,0.0,13.0,4.0,70.58823529411765,agustín martegani,salernitana,10.69060773480663,5.593922651933702,0.1243093922651933,0.9944751381215468,0.0,2.113259668508287,1.4917127071823204,0.7458563535911602,35.925414364640886,1.6160220994475138,0.4972375690607734,Serie A,A. Martegani,Midfielder,724.0,86.0,45.0,1.0,8.0,0.0,17.0,12.0,6.0,289.0,0.0,13.0,4.0,70.58823529411765,salernitana,10.69060773480663,5.593922651933702,0.1243093922651933,0.9944751381215468,0.0,2.113259668508287,1.4917127071823204,0.7458563535911602,35.925414364640886,1.6160220994475138,0.4972375690607734,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s. lobotka,napoli,serie a,midfielder,0,Deep-lying Playmaker,0.9963662790697674,0.144170854006095,0.6783321985478518,0.7360516355089478,0.3549580445274899,0.59480109471383,0.5157143888905709,0.4327401945581465,0.368808822908886,A. Martegani
Aimar Oroz,Osasuna,Midfielder,2350.0,293.0,131.0,2.0,18.0,1.0,42.0,25.0,26.0,1008.0,81.1,43.0,16.0,59.523809523809526,aimar oroz,osasuna,11.22127659574468,5.017021276595744,0.076595744680851,0.6893617021276596,0.0382978723404255,1.6085106382978724,0.9574468085106382,0.9957446808510638,38.60425531914894,1.646808510638298,0.6127659574468085,La Liga,Aimar Oroz,Midfielder,2350.0,293.0,131.0,2.0,18.0,1.0,42.0,25.0,26.0,1008.0,81.1,43.0,16.0,59.523809523809526,osasuna,11.22127659574468,5.017021276595744,0.076595744680851,0.6893617021276596,0.0382978723404255,1.6085106382978724,0.9574468085106382,0.9957446808510638,38.60425531914894,1.646808510638298,0.6127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,i. louza,lorient,ligue 1,midfielder,2,Final-Third Playmaker,0.113735465116279,0.6326432815152992,0.8150695562355904,0.620618000085271,0.1819660133915938,0.3348392649749083,0.5013174982544815,0.4179995933926929,0.4506706611546652,Aimar Oroz
A. Maitland-Niles,Lyon,Midfielder,1432.0,148.0,79.0,1.0,13.0,4.0,30.0,16.0,18.0,685.0,83.3,34.0,17.0,53.333333333333336,ainsley maitland-niles,lyon,9.301675977653632,4.965083798882682,0.0628491620111731,0.8170391061452514,0.2513966480446927,1.885474860335196,1.005586592178771,1.1312849162011174,43.05167597765363,2.136871508379888,1.068435754189944,Ligue 1,A. Maitland-Niles,Midfielder,1432.0,148.0,79.0,1.0,13.0,4.0,30.0,16.0,18.0,685.0,83.3,34.0,17.0,53.333333333333336,lyon,9.301675977653632,4.965083798882682,0.0628491620111731,0.8170391061452514,0.2513966480446927,1.885474860335196,1.005586592178771,1.1312849162011174,43.05167597765363,2.136871508379888,1.068435754189944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ligue 1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,m. perrone,las palmas,la liga,midfielder,0,Deep-lying Playmaker,0.3913517441860465,0.1866046969806339,0.6038121482653763,0.4711013321656846,0.3175589073608643,0.8239131015005806,0.3025574089642384,0.4279050830552161,0.6052170184673304,A. Maitland-Niles
A. Grassi,Empoli,Midfielder,1905.0,174.0,96.0,0.0,17.0,1.0,9.0,5.0,6.0,848.0,80.8,30.0,41.0,55.55555555555556,alberto grassi,empoli,8.220472440944881,4.535433070866142,0.0,0.8031496062992126,0.0472440944881889,0.4251968503937008,0.2362204724409448,0.2834645669291338,40.06299212598425,1.4173228346456692,1.937007874015748,Serie A,A. Grassi,Midfielder,1905.0,174.0,96.0,0.0,17.0,1.0,9.0,5.0,6.0,848.0,80.8,30.0,41.0,55.55555555555556,empoli,8.220472440944881,4.535433070866142,0.0,0.8031496062992126,0.0472440944881889,0.4251968503937008,0.2362204724409448,0.2834645669291338,40.06299212598425,1.4173228346456692,1.937007874015748,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dani parejo,villarreal,la liga,midfielder,0,Deep-lying Playmaker,0.7390988372093024,0.2750157570203729,0.8020195432687957,0.3577430883345674,0.4014085493232767,0.5210227542432391,0.5654997499745225,0.5537388985943065,0.1737530716075007,A. Grassi
