name,position,minutes,duels_total_api,duels_won_api,goals_total_api,shots_total_api,shots_on_target_api,assists_total_api,dribbles_attempts_api,dribbles_success_api,touches_total_api,passes_key_api,passes_total_api,passes_accuracy_perc,shots_on_target_perc,dribbles_success_perc,name_clean,team_clean,duels_total_p90,duels_won_p90,goals_p90,shots_total_p90,shots_on_target_p90,assists_p90,dribbles_attempts_p90,dribbles_success_p90,touches_total_p90,passes_key_p90,passes_total_p90,team_Almeria,team_Athletic Club,team_Atletico Madrid,team_Barcelona,team_Cadiz,team_Celta Vigo,team_Getafe,team_Girona,team_Las Palmas,team_Mallorca,team_Osasuna,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Valencia,team_Villarreal,league
Joselu,Attacker,1674.0,134.0,68.0,10.0,48.0,0,2.0,13.0,6.0,0,12.0,347.0,72.2,0.0,46.15384615384615,joselu,real madrid,7.204301075268817,3.655913978494624,0.5376344086021506,2.5806451612903225,0.0,0.1075268817204301,0.6989247311827956,0.3225806451612903,0.0,0.6451612903225806,18.655913978494624,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,La Liga
José Arnáiz,Attacker,921.0,129.0,54.0,2.0,20.0,0,1.0,26.0,10.0,0,14.0,270.0,73.3,0.0,38.46153846153847,jose arnaiz,osasuna,12.605863192182412,5.276872964169381,0.1954397394136807,1.954397394136808,0.0,0.0977198697068403,2.54071661237785,0.977198697068404,0.0,1.3680781758957654,26.38436482084691,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,La Liga
Adri Embarba,Attacker,2485.0,368.0,166.0,3.0,45.0,0,2.0,110.0,46.0,0,53.0,732.0,65.6,0.0,41.81818181818181,adri embarba,almeria,13.327967806841045,6.012072434607646,0.1086519114688128,1.6297786720321932,0.0,0.0724346076458752,3.9839034205231374,1.6659959758551306,0.0,1.919517102615694,26.511066398390344,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
Carles Pérez,Attacker,771.0,116.0,43.0,1.0,14.0,0,1.0,32.0,14.0,0,10.0,236.0,77.6,0.0,43.75,carles perez,celta vigo,13.540856031128405,5.019455252918288,0.1167315175097276,1.634241245136187,0.0,0.1167315175097276,3.735408560311284,1.634241245136187,0.0,1.1673151750972763,27.54863813229572,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,La Liga
Álvaro Morata,Attacker,1909.0,223.0,112.0,15.0,60.0,0,3.0,33.0,17.0,0,15.0,373.0,69.5,0.0,51.51515151515152,alvaro morata,atletico madrid,10.513357778941854,5.280251440544788,0.7071765322158199,2.8287061288632795,0.0,0.1414353064431639,1.5557883708748037,0.8014667365112624,0.0,0.7071765322158199,17.585123101100052,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
André Silva,Attacker,728.0,96.0,28.0,3.0,15.0,0,0.0,21.0,5.0,0,5.0,160.0,81.2,0.0,23.809523809523807,andre silva,real sociedad,11.868131868131869,3.4615384615384617,0.3708791208791209,1.8543956043956045,0.0,0.0,2.5961538461538463,0.6181318681318682,0.0,0.6181318681318682,19.78021978021978,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,La Liga
Jaime Mata,Attacker,1791.0,274.0,107.0,5.0,24.0,0,1.0,15.0,8.0,0,18.0,472.0,65.3,0.0,53.333333333333336,jaime mata,getafe,13.768844221105526,5.376884422110552,0.2512562814070351,1.206030150753769,0.0,0.050251256281407,0.7537688442211055,0.4020100502512563,0.0,0.9045226130653268,23.71859296482412,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,La Liga
Sandro Ramírez,Attacker,1818.0,163.0,77.0,1.0,37.0,0,3.0,47.0,22.0,0,32.0,592.0,74.8,0.0,46.80851063829788,sandro ramirez,las palmas,8.069306930693068,3.811881188118812,0.0495049504950495,1.8316831683168315,0.0,0.1485148514851485,2.3267326732673266,1.089108910891089,0.0,1.584158415841584,29.306930693069305,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,La Liga
Marc Cardona,Attacker,724.0,121.0,51.0,4.0,20.0,0,1.0,33.0,14.0,0,8.0,222.0,74.9,0.0,42.42424242424242,marc cardona,las palmas,15.041436464088395,6.3397790055248615,0.4972375690607734,2.4861878453038675,0.0,0.1243093922651933,4.102209944751381,1.740331491712707,0.0,0.9944751381215468,27.596685082872927,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,La Liga
Carlos Vicente,Attacker,1119.0,169.0,77.0,2.0,13.0,0,4.0,37.0,15.0,0,34.0,259.0,56.3,0.0,40.54054054054054,carlos vicente,alaves,13.592493297587133,6.193029490616621,0.1608579088471849,1.0455764075067024,0.0,0.3217158176943699,2.975871313672922,1.206434316353887,0.0,2.734584450402145,20.83109919571045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
