Player Name,League,Club,Position,Tactical Role,Minutes Played,Short Pass Accuracy %,Medium Pass Accuracy %,Long Pass Accuracy %,Goals per 90,Assists per 90,Total Pass Accuracy %,Tackles Success %,Dribblers Tackled,Blocks per 90,Shots Blocked per 90,Passes Blocked per 90,Clearances per 90,Errors per 90,Aggressive High Block Engagement,Transition Ability (Interceptions-Passing),Area Clearance & Box Protection,Build-up Ability,1v1 Ability,Compactness & Shot Blocks,Overall Defensive Workload Index,Vertical Passing / Line-Breaking,Low-Tempo Defensive Coverage,Mid-Third Engagements,Long Passing Ability - Pressured Duel Success,Errors Under Pressure,Area Variety in Tackling,Structured Passing in Tactical Mid-Blocks,Defensive Stress Indicators & Rescue Actions,Passing Reliability Across Areas,Defensive Energy & Effort Radar
F. Fazio,Serie A,Salernitana,Defender,Positional Defender,1355,0.840206186,0.818867925,0.509259259,0.066420664,0,0.763888889,0.785714286,8,1.461254613,1.26199262,0.199261993,6.575645756,0.066420664,0.1113212,0.508491617,0.799027075,0.57761128,0.827598804,0.454128043,0.575993995,0.311075914,0.457629778,0.802236788,0.412446052,0.464094881,0.562380932,0.385561202,0.198286718,0.579250578,0.789996234
Mário Rui,Serie A,Napoli,Defender,Ball-Winning Full-Back,1208,0.908866995,0.843317972,0.546961326,0,0.149130075,1.026252983,0.882352941,14,1.267605634,0.149130075,1.118475559,1.416735708,0,0.588441364,0.396260174,0.40881543,0.404879257,0.454108346,0.601835434,0.101979983,0.306963887,0.671089881,0.442619077,0.56895427,0.119256472,0.678707442,0.546390989,0.122094428,0.82544385,0.855872644
D. D'Ambrosio,Serie A,Monza,Defender,Defensive Anchor / Stopper,1534,0.957446809,0.938162544,0.596774194,0,0,0.923584906,1,28,1.291585127,0.763209393,0.528375734,1.819960861,0,0.592337944,0.684357886,0.13456315,0,0.711664112,0.458801766,0.218037317,0.156150132,0.413196341,0.489603104,0.354730359,0.511469747,0.275747607,0.670157857,0.103506803,0.726445934,0.837791435
Pedro Pereira,Serie A,Monza,Defender,Ball-Winning Full-Back,833,0.918803419,0.81025641,0.438596491,0,0.215827338,0.983050847,0.928571429,9,1.618705036,0.215827338,1.402877698,1.942446043,0,0.635098082,0.320974518,0.668984313,0.17918727,0.517054282,0.693419502,0.163569822,0.308842939,0.644445425,0,0.158258974,0.240093786,0.700028261,0.540957211,0.113705887,0.533374314,0.865354949
A. Florenzi,Serie A,AC Milan,Defender,Ball-Winning Full-Back,1729,0.94335512,0.874759152,0.576,0.05205321,0.20821284,1.007640879,0.807692308,26,0.832851359,0.46847889,0.36437247,1.301330249,0.05205321,0.521726276,0.366256093,0.134791709,0.385551778,0.459676275,0.357843632,0.168017788,0.314162425,0.338190203,0.322783708,0.284095283,0.173464133,0.431501779,0.524421522,0.146842284,0.798618925,0.820650418
D. Calabria,Serie A,AC Milan,Defender,Defensive Anchor / Stopper,2196,0.909228442,0.886956522,0.589403974,0.041002278,0.123006834,1.016166282,1,44,1.066059226,0.287015945,0.77904328,2.009111617,0.041002278,0.672061554,0.500296561,0.186417292,0.301675508,0.527011938,0.488666662,0.261015749,0.256166539,0.312184504,0.339264822,0.418444209,0.379412477,0.616604648,0.65880124,0.130470531,0.711379869,0.846158654
R. Tolói,Serie A,Atalanta,Defender,Ball-Winning Full-Back,961,0.91943128,0.882352941,0.438356164,0,0,0.864970646,1.285714286,14,0.842872008,0.374609781,0.468262227,2.715920916,0,0.49285237,0.366735612,0.26715448,0.583028947,0.494499257,0.518747235,0.049359256,0.13514672,0.220426217,1,0.427188274,0.220801735,0.808443491,0.700132449,0.187874422,0.745656959,0.789082988
P. Hatzidiakos,Serie A,Cagliari,Defender,Positional Defender,867,0.968992248,0.836842105,0.588235294,0,0,0.874666667,0.833333333,10,1.453287197,0.519031142,0.934256055,3.114186851,0.103806228,0.453058059,0.576812153,0.349719315,0.389484763,0.428562893,0.555103186,0.053384735,0.126296862,0.437503295,0.396956499,0.274910303,0.6673678,0.627499908,0.169202884,0.091223602,0.382682545,0.887102084
F. Ebosele,Serie A,Udinese,Defender,Ball-Winning Full-Back,1704,0.769230769,0.657718121,0.529411765,0,0,0.882539683,0.869565217,21,1.742957746,0.105633803,1.637323944,1.426056338,0,0.671022224,0.305448774,1,0.511545125,0.627979335,0.79191541,0.250486124,0.206321741,0.620511808,0.14049381,0.840841108,0.629587413,0.436418839,0.496377395,0.107708923,0.397948596,0.868851042
N. Pérez,Serie A,Udinese,Defender,Positional Defender,3240,0.890740741,0.865357644,0.511551155,0,0,0.863667348,1.142857143,39,1.472222222,0.722222222,0.75,4.388888889,0.027777778,0.377137812,0.587058026,0.526620357,0.430251766,0.722387379,0.660628039,0.32961159,0.243543368,0.593393602,0.647925173,0.343901501,0.558903557,0.636204215,0.546314053,0.121405353,0.556559372,0.860663891
N. Gyömbér,Serie A,Salernitana,Defender,Positional Defender,1763,0.887596899,0.895721925,0.575757576,0,0,0.852503383,0.6,20,1.684628474,1.174134997,0.510493477,3.930799773,0.102098695,0.248435937,0.582509681,0.661593043,0.402628072,0.624068224,0.470512844,0.18985493,0.21290348,0.346488231,0.348735131,0.431822771,0.33953081,0.352185154,0.611325844,0.150839817,0.723143517,0.801704031
Danilo,Serie A,Juventus,Defender,Positional Defender,2450,0.932758621,0.915938865,0.643564356,0.036734694,0.036734694,0.918061166,0.947368421,32,1.248979592,0.551020408,0.697959184,3.453061224,0,0.387829388,0.589887175,0.27148718,0.36682945,0.591700333,0.564307856,0.314727174,0.230795808,0.592697462,0.4659944,0.466408015,0.381537812,0.642142345,0.460221267,0.127291512,0.640622547,0.844357559
Alex Sandro,Serie A,Juventus,Defender,Positional Defender,716,0.935,0.907749077,0.588235294,0.125698324,0,0.979550102,1,4,1.634078212,0.879888268,0.754189944,2.891061453,0,0.272542504,0.581527961,0.385663397,0.630971866,0.31213817,0.627978769,0.425720595,0.147297935,0.538524495,0.523129418,0.265708548,0.492434726,0.384197659,0.507503852,0.135181934,0.707726416,0.834761342
Ruan Tressoldi,Serie A,Sassuolo,Defender,Ball-Playing Centre-Back,1513,0.871559633,0.891008174,0.725274725,0,0,0.898484848,1.363636364,10,1.070720423,0.892267019,0.178453404,4.04494382,0.118968936,0.222738856,0.451629372,0.318275262,0.639449516,0.635886561,0.724597152,0.289124681,0.276244375,0.166099868,0.728238351,0.601452131,0.336149146,0.538734495,0.461589063,0.336270216,0.819951199,0.640499414
