name,league,team_clean,position,Role_Label,Minutes Played,Goals,Goals_p90,Duels won %,Shots,Shots_p90,Assists,Assists_p90,Dribbles successful %,Dribbles successful %,Dribbles successful %_p90,Key Passes,Passes total p90,passes_accuracy_perc,passes_accuracy_perc,PC1,PC2,PC3,PC4,PC5,PC6,PC7
f. caputo,serie a,empoli,Attacker,Off-Ball Disruptor,1274.0,3.0,0.2119309262166404,41.25,18.0,1.2715855572998431,0.0,0.0,55.56,55.56,55.56,0.706436420722135,15.047095761381478,75.9,75.9,-1.5677028097475314,-0.9297803646525798,-0.2850089931107973,1.5036732895761649,1.2136895148156928,-0.0816960256982506,0.0811926782116507
i. success,serie a,udinese,Attacker,Off-Ball Disruptor,870.0,1.0,0.1034482758620689,46.77,16.0,1.6551724137931034,1.0,0.1034482758620689,58.82,58.82,58.82,1.137931034482759,20.79310344827586,63.7,63.7,-0.4671698504925375,-1.2274437255014037,-1.796760569416597,0.123054573950402,0.2202716000265903,-0.5251640894634724,-0.3092817027894375
s. azmoun,serie a,roma,Attacker,Disruptive Presser,568.0,3.0,0.4753521126760563,45.0,11.0,1.742957746478873,0.0,0.0,36.36,36.36,36.36,1.267605633802817,24.242957746478872,69.2,69.2,-0.9721217956820254,0.436540414123017,0.2277874068030785,0.1372425198403195,-1.0113717568993552,-0.6344963108664844,0.9371540614581192
dany mota,serie a,monza,Attacker,Off-Ball Disruptor,2057.0,4.0,0.1750121536217792,41.63,29.0,1.2688381137579,3.0,0.1312591152163344,36.36,36.36,36.36,1.5313563441905689,32.33349538162372,74.8,74.8,0.2611315092898819,-1.1359705156290762,1.4668981567917383,-0.2678224456531356,-0.6250496658512068,-0.0199106416677022,0.1584811202678271
a. petagna,serie a,cagliari,Attacker,Off-Ball Disruptor,999.0,1.0,0.09009009009009,46.67,13.0,1.1711711711711712,1.0,0.09009009009009,73.33,73.33,73.33,1.6216216216216215,21.17117117117117,71.1,71.1,0.6328648563387186,-2.003312793704599,-1.665270876203229,0.9219663656352624,1.5231459097498894,-0.908679418822112,0.0002859298403436
g. oristanio,serie a,cagliari,Attacker,Off-Ball Disruptor,1101.0,2.0,0.1634877384196185,41.45,18.0,1.4713896457765667,1.0,0.0817438692098092,58.18,58.18,58.18,1.2261580381471389,17.002724795640326,67.8,67.8,-0.8885654424535512,-1.0530377565159723,-1.0562313370639396,0.152367993328167,1.0694450131342677,-0.5422656416940516,-0.2363739658238734
a. pinamonti,serie a,sassuolo,Attacker,Disruptive Presser,3100.0,11.0,0.3193548387096774,38.73,54.0,1.5677419354838709,1.0,0.0290322580645161,40.74,40.74,40.74,0.4935483870967742,17.47741935483871,65.2,65.2,-2.475969332639982,-0.0781031679776324,-0.2100666500731997,-0.0660485661380624,0.0813881083329992,-0.0850087350471289,0.3280697072244413
p. pellegri,serie a,torino,Attacker,Disruptive Presser,745.0,1.0,0.1208053691275167,40.74,10.0,1.2080536912751678,1.0,0.1208053691275167,41.67,41.67,41.67,0.4832214765100671,15.8255033557047,62.3,62.3,-2.337055962862854,-1.2130404030245887,-0.7623163600028685,-0.6207997630926873,0.0836839126013978,0.6048070051483986,-0.0473178197475479
m. retegui,serie a,genoa,Attacker,Disruptive Presser,2226.0,7.0,0.2830188679245283,41.37,51.0,2.061994609164421,2.0,0.0808625336927223,43.75,43.75,43.75,0.4447439353099731,15.606469002695418,64.3,64.3,-2.158609965196982,0.3237261666064711,-0.9626286857501108,-0.0295930771584077,-0.0394755292175423,0.1662322686750346,-0.3534779578385063
l. tchaouna,serie a,salernitana,Attacker,Disruptive Presser,2097.0,4.0,0.1716738197424892,38.59,35.0,1.5021459227467813,3.0,0.1287553648068669,34.04,34.04,34.04,0.9442060085836912,29.184549356223176,65.9,65.9,-1.0896579327646292,-0.7593606799000899,0.8006942218926162,-0.8992943216528224,-0.7080957727761104,0.0068745075917943,-0.0217863890338667
