Player Name,League,Club,Position,Tactical Role,Minutes Played,Goals per 90,Goals Total,Shots per 90,Shots Total,Assists per 90,Assists Total,Duels Won per 90 (%),Dribbles per 90 (%),Key Passes per 90,Total Passes per 90,Pass Accuracy (%),Tackles per 90,Tackles Total,Interceptions per 90,Interceptions Total,Defensive Involvement & Ball Recovery,Defensive Involvement & Consistency,Final Third/Attacking Contribution,Defensive Pressing,Build-Up & Offensive Contribution,Passing & Technical Quality,Intensity & Ball-Carrying
a. rabiot,Serie A,juventus,Midfielder,Deep-lying Playmaker,2651.0,0.1697472651829498,5.0,0.984534138061109,29.0,0.1018483591097699,3.0,56.5079365079365,57.14285714285714,0.8826857789513392,38.6005281026028,0.0,1.969068276122218,58.0,0.8487363259147491,25.0,0.149241771683079,0.6886003303554281,0.4470480156188659,0.4175795408638322,0.4236329952358451,0.4035700081200952,0.3767056348891371
a. tchouameni,La Liga,real madrid,Midfielder,Final-Third Playmaker,1987.0,0.135883241066935,3.0,0.6794162053346754,15.0,0.0452944136889783,1.0,63.3879781420765,66.66666666666666,0.498238550578762,67.57926522395572,50.0,1.6758933064921993,37.0,1.268243583291394,28.0,0.7203654223772551,0.8487326838275058,0.4241806662977317,0.6942715922671184,0.2558321191591651,0.4064959074460743,0.146530191965031
abdallah atta,Ligue 1,metz,Midfielder,Positional Anchor,919.0,0.0979325353645266,1.0,0.6855277475516867,7.0,0.1958650707290533,2.0,41.54929577464789,44.82758620689655,1.2731229597388465,40.64200217627857,0.0,1.9586507072905333,20.0,1.0772578890097932,11.0,0.4992209083595225,0.1711641654335117,0.3424089770849273,0.6137980729057666,0.3888080904203018,0.2590043822772177,0.2828977670360527
abdoulaye touré,Ligue 1,le havre,Midfielder,Positional Anchor,2294.0,0.07846556233653,2.0,0.902353966870096,23.0,0.0,0.0,52.44755244755245,70.73170731707317,0.5100261551874455,48.06015693112468,0.0,1.843940714908457,47.0,0.980819529206626,25.0,0.5873301166350733,0.1997460023419864,0.3054232176946082,0.4516967395699435,0.4796998845210852,0.499342409773129,0.3892120980125001
abdoulie jallow,Ligue 1,metz,Midfielder,Positional Anchor,920.0,0.2934782608695652,3.0,1.0760869565217392,11.0,0.1956521739130435,2.0,41.44144144144145,43.58974358974359,1.2717391304347827,29.64130434782609,0.0,0.8804347826086957,9.0,0.782608695652174,8.0,0.3880925634712628,0.8228170873911875,0.4457828132555454,0.6208948536242395,0.5403400391579425,0.3302582689830125,0.4471079957194684
adrien thomasson,Ligue 1,lens,Midfielder,Positional Anchor,1193.0,0.0754400670578373,1.0,1.3579212070410729,18.0,0.1508801341156747,2.0,42.0,64.28571428571428,2.263202011735121,47.22548197820621,74.5,1.8860016764459344,25.0,0.6789606035205364,9.0,0.5947767531454745,0.3475639903353774,0.3763038767720575,0.5774657909711239,0.5573735187603912,0.3452509509344224,0.3625314576976076
agustín martegani,Serie A,salernitana,Midfielder,Deep-lying Playmaker,724.0,0.1243093922651933,1.0,0.9944751381215468,8.0,0.0,0.0,52.32558139534884,70.58823529411765,0.7458563535911602,35.925414364640886,0.0,1.6160220994475138,13.0,0.4972375690607734,4.0,0.144170854006095,0.7360516355089478,0.3549580445274899,0.59480109471383,0.5157143888905709,0.4327401945581465,0.368808822908886
aimar oroz,La Liga,osasuna,Midfielder,Final-Third Playmaker,2350.0,0.076595744680851,2.0,0.6893617021276596,18.0,0.0382978723404255,1.0,44.7098976109215,59.52380952380951,0.9957446808510638,38.60425531914894,81.1,1.646808510638298,43.0,0.6127659574468085,16.0,0.6326432815152992,0.620618000085271,0.1819660133915938,0.3348392649749083,0.5013174982544815,0.4179995933926929,0.4506706611546652
ainsley maitland-niles,Ligue 1,lyon,Midfielder,Deep-lying Playmaker,1432.0,0.0628491620111731,1.0,0.8170391061452514,13.0,0.2513966480446927,4.0,53.37837837837838,53.33333333333332,1.1312849162011174,43.05167597765363,83.3,2.136871508379888,34.0,1.068435754189944,17.0,0.1866046969806339,0.4711013321656846,0.3175589073608643,0.8239131015005806,0.3025574089642384,0.4279050830552161,0.6052170184673304
alberto grassi,Serie A,empoli,Midfielder,Deep-lying Playmaker,1905.0,0.0,0.0,0.8031496062992126,17.0,0.0472440944881889,1.0,55.172413793103445,55.555555555555536,0.2834645669291338,40.06299212598425,80.8,1.4173228346456692,30.0,1.937007874015748,41.0,0.2750157570203729,0.3577430883345674,0.4014085493232767,0.5210227542432391,0.5654997499745225,0.5537388985943065,0.1737530716075007
alberto moleiro,La Liga,las palmas,Midfielder,Final-Third Playmaker,1809.0,0.1492537313432836,3.0,1.243781094527363,25.0,0.1492537313432836,3.0,39.73799126637554,50.89285714285714,1.343283582089552,34.5273631840796,79.0,0.746268656716418,15.0,0.3482587064676617,7.0,0.5345833105408906,0.6657004211783364,0.283030846035412,0.3095618664347984,0.2658831184128567,0.2871993776170428,0.5405158498590257
aleix garcia,La Liga,girona,Midfielder,Final-Third Playmaker,3201.0,0.0843486410496719,3.0,0.7591377694470478,27.0,0.1686972820993439,6.0,54.88372093023255,71.42857142857142,1.6588566073102151,76.58856607310216,87.5,1.4058106841611997,50.0,0.9840674789128396,35.0,0.571796032405313,0.4337481664283802,0.1425402093838461,0.5289961325130936,0.3347872624480732,0.3726748237519739,0.2723899500327767
aleksandr golovin,Ligue 1,monaco,Midfielder,Positional Anchor,2155.0,0.2505800464037123,6.0,1.419953596287703,34.0,0.2505800464037123,6.0,51.35135135135134,58.536585365853654,2.088167053364269,46.023201856148496,75.6,1.754060324825986,42.0,0.877030162412993,21.0,0.4901001216310282,0.3132785418916497,0.5473827112375125,0.7541941783700663,0.599173305737033,0.4216896653890417,0.4177531189810465
aleksandr richardson,Ligue 1,reims,Midfielder,Positional Anchor,1351.0,0.1998519615099926,3.0,1.1324944485566246,17.0,0.0666173205033308,1.0,47.05882352941176,30.769230769230766,0.7994078460399704,41.968911917098445,0.0,2.1983715766099188,33.0,0.999259807549963,15.0,0.603594478377613,0.2658761729495299,0.5959742704441189,0.5095796989012282,0.4410844897593746,0.3676096812698482,0.4476365439658945
aleksei miranchuk,Serie A,atalanta,Midfielder,Deep-lying Playmaker,1170.0,0.2307692307692307,3.0,2.4615384615384617,32.0,0.3846153846153846,5.0,48.52941176470588,38.63636363636363,3.3846153846153846,40.07692307692307,73.0,0.9230769230769232,12.0,0.1538461538461538,2.0,0.2106125957677003,0.730260938499715,0.5084307558726097,0.3648116226835616,0.444159300627972,0.4161892905578497,0.3991166292350346
alessandro deiola,Serie A,cagliari,Midfielder,Deep-lying Playmaker,1609.0,0.0559353635798632,1.0,1.006836544437539,18.0,0.0,0.0,47.12041884816754,62.5,0.5593536357986327,27.967681789931635,69.5,1.845866998135488,33.0,0.5034182722187694,9.0,0.2428453864427056,0.8173145018614414,0.5139847804118726,0.404693097270453,0.5681550828738926,0.4277385883031994,0.5786983411684797
alex baena,La Liga,villarreal,Midfielder,Final-Third Playmaker,2599.0,0.0692574066948826,2.0,1.7660638707195075,51.0,0.4848018468641785,14.0,46.12546125461254,50.980392156862756,2.9780684878799537,36.429395921508274,71.2,1.1773759138130049,34.0,0.4155444401692958,12.0,0.6467002753528585,0.2495425358523038,0.4700054799398258,0.614180252523374,0.4777899362093452,0.6080116031890103,0.427718560507341
alex fernandez,La Liga,cadiz,Midfielder,Final-Third Playmaker,1282.0,0.0,0.0,0.2106084243369735,3.0,0.0702028081123244,1.0,53.60824742268042,66.66666666666664,0.9126365054602184,42.402496099844,83.1,1.263650546021841,18.0,1.053042121684867,15.0,0.7322221374297959,0.8944684584931435,0.5369333127884938,0.6026004515410719,0.1327298031066989,0.4091303247472199,0.0
alex sola,La Liga,alaves,Midfielder,Final-Third Playmaker,1260.0,0.0,0.0,1.2857142857142856,18.0,0.2142857142857143,3.0,56.78391959798995,61.764705882352935,1.9285714285714288,21.785714285714285,62.6,1.9285714285714288,27.0,0.7857142857142857,11.0,0.5217899623128825,0.7558966890825228,0.621511711156977,0.4480897899025545,0.4169264368211637,0.3882135046586895,0.1979239538214899
alexis blin,Serie A,lecce,Midfielder,Deep-lying Playmaker,1631.0,0.0,0.0,0.6621704475781729,12.0,0.1103617412630288,2.0,43.34975369458128,49.999999999999986,0.3862660944206008,41.66155732679338,86.1,1.820968730839976,33.0,1.213979153893317,22.0,0.2675169143603556,0.7710353329834239,0.544619126091837,0.3489901192973627,0.3711647551825048,0.3364333481582648,0.4348862011198228
alfred duncan,Serie A,fiorentina,Midfielder,Deep-lying Playmaker,1898.0,0.0948366701791359,2.0,0.7586933614330874,16.0,0.2370916754478398,5.0,47.59615384615385,55.55555555555555,1.7544783983140149,45.23709167544784,77.7,1.6596417281348788,35.0,0.5216016859852477,11.0,0.2184231173767273,0.7131275412523053,0.3611051665824066,0.4133676312606067,0.628671093412803,0.5510867673121037,0.3043949199387115
